Source,Destination,Length,Sequence,MessageType,Label
0,3,60,27941,8,1
0,3,78,14767,11,0
0,3,60,27920,8,1
0,3,58,27986,0,0
0,3,58,27986,8,0
0,3,60,27942,0,1
0,3,58,27987,0,0
0,3,58,27987,8,0
0,3,60,27942,8,1
0,3,60,27911,8,1
0,3,78,14768,11,0
0,3,58,27988,0,0
0,3,58,27988,8,0
1,3,60,27524,1,0
0,3,68,27524,9,0
0,3,60,27907,8,1
0,3,60,27943,0,1
0,3,58,27989,0,0
0,3,58,27989,8,0
1,3,60,27525,1,0
0,3,68,27525,9,0
0,3,60,27943,8,1
0,3,60,27921,0,1
0,3,78,14769,11,0
0,3,58,27990,0,0
0,3,58,27990,8,0
0,3,60,27944,0,1
0,3,60,27944,8,1
0,3,58,27991,0,0
0,3,58,27991,8,0
0,3,60,27921,8,1
0,3,78,14770,11,0
0,3,58,27992,0,0
0,3,58,27992,8,0
0,3,60,27904,0,1
0,3,60,27945,0,1
0,3,58,27993,0,0
0,3,58,27993,8,0
0,3,60,27945,8,1
0,3,78,14771,11,0
0,3,58,27994,0,0
0,3,58,27994,8,0
0,3,60,27912,0,1
0,3,60,27946,0,1
0,3,58,27995,0,0
0,3,58,27995,8,0
0,3,60,27946,8,1
0,3,78,14772,11,0
0,3,58,27996,0,0
0,3,58,27996,8,0
0,3,60,27922,0,1
0,3,60,27922,8,1
0,3,58,27997,0,0
0,3,58,27997,8,0
0,3,60,27947,0,1
0,3,78,14773,11,0
0,3,60,27947,8,1
0,3,58,27998,0,0
0,3,58,27998,8,0
0,3,60,27912,8,1
0,3,58,27999,0,0
0,3,58,27999,8,0
0,3,60,27908,0,1
0,3,78,14774,11,0
0,3,58,28000,0,0
0,3,58,28000,8,0
0,3,60,27948,0,1
0,3,58,28001,0,0
0,3,58,28001,8,0
0,3,60,27948,8,1
0,3,60,27923,0,1
0,3,78,14775,11,0
0,3,58,28002,0,0
0,3,58,28002,8,0
0,3,60,27923,8,1
0,3,60,27949,0,1
0,3,58,28003,0,0
0,3,58,28003,8,0
0,3,60,27949,8,1
0,3,78,14776,11,0
0,3,58,28004,0,0
0,3,58,28004,8,0
0,3,60,27908,8,1
0,3,58,28005,0,0
0,3,58,28005,8,0
0,3,60,27913,0,1
0,3,78,14777,11,0
0,3,60,27950,0,1
0,3,58,28006,0,0
0,3,58,28006,8,0
0,3,60,27950,8,1
0,3,60,27924,0,1
0,3,58,28007,0,0
0,3,58,28007,8,0
0,3,60,27924,8,1
0,3,78,14778,11,0
0,3,58,28008,0,0
0,3,58,28008,8,0
0,3,60,27951,0,1
0,3,60,27951,8,1
0,3,58,28009,0,0
0,3,58,28009,8,0
0,3,60,27913,8,1
0,3,78,14779,11,0
0,3,58,28010,0,0
0,3,58,28010,8,0
0,3,60,27952,0,1
0,3,58,28011,0,0
0,3,58,28011,8,0
0,3,60,27952,8,1
0,3,78,14780,11,0
0,3,58,28012,0,0
0,3,58,28012,8,0
0,3,60,27925,0,1
0,3,60,27925,8,1
0,3,58,28013,0,0
0,3,58,28013,8,0
0,3,60,27953,0,1
0,3,78,14781,11,0
0,3,58,28014,0,0
0,3,58,28014,8,0
0,3,60,27953,8,1
0,3,60,27955,0,1
0,3,58,28015,0,0
0,3,58,28015,8,0
0,3,60,27955,8,1
0,3,60,27926,8,1
0,3,78,14782,11,0
0,3,58,28016,0,0
0,3,58,28016,8,0
0,3,60,27927,0,1
0,3,58,28017,0,0
0,3,58,28017,8,0
0,3,60,27957,0,1
1,3,60,27526,1,0
0,3,68,27526,9,0
0,3,78,14783,11,0
0,3,60,27927,8,1
0,3,58,28018,0,0
0,3,58,28018,8,0
0,3,60,27909,0,1
0,3,58,28019,0,0
0,3,58,28019,8,0
0,3,60,27959,0,1
1,3,60,27527,1,0
0,3,68,27527,9,0
0,3,60,27928,0,1
0,3,78,14784,11,0
0,3,58,28020,0,0
0,3,58,28020,8,0
0,3,60,27929,0,1
0,3,58,28021,0,0
0,3,58,28021,8,0
0,3,60,27961,0,1
0,3,78,14785,11,0
0,3,58,28022,0,0
0,3,58,28022,8,0
0,3,60,27915,0,1
0,3,60,27962,0,1
0,3,58,28023,0,0
0,3,58,28023,8,0
0,3,60,27930,8,1
0,3,60,27963,0,1
0,3,78,14786,11,0
0,3,58,28024,0,0
0,3,58,28024,8,0
0,3,60,27931,0,1
0,3,58,28025,0,0
0,3,58,28025,8,0
0,3,60,27931,8,1
0,3,60,27909,8,1
0,3,78,14787,11,0
0,3,58,28026,0,0
0,3,58,28026,8,0
0,3,60,27932,0,1
0,3,60,27906,8,1
0,3,58,28027,0,0
0,3,58,28027,8,0
0,3,60,27967,0,1
0,3,78,14788,11,0
0,3,60,27933,0,1
0,3,58,28028,0,0
0,3,58,28028,8,0
0,3,60,27916,8,1
0,3,58,28029,0,0
0,3,58,28029,8,0
0,3,60,27969,0,1
0,3,60,27969,8,1
0,3,78,14789,11,0
0,3,58,28030,0,0
0,3,58,28030,8,0
0,3,60,27934,0,1
0,3,60,27934,8,1
0,3,58,28031,0,0
0,3,58,28031,8,0
0,3,60,27970,0,1
1,3,60,27528,1,0
0,3,68,27528,9,0
0,3,60,27970,8,1
0,3,78,14790,11,0
0,3,58,28032,0,0
0,3,58,28032,8,0
0,3,60,27905,0,1
0,3,58,28033,0,0
0,3,58,28033,8,0
0,3,60,27910,0,1
0,3,60,27935,0,1
0,3,78,14791,11,0
0,3,58,28034,0,0
0,3,58,28034,8,0
0,3,60,27935,8,1
0,3,60,27917,0,1
0,3,58,28035,0,0
0,3,58,28035,8,0
0,3,60,27917,8,1
0,3,78,14792,11,0
0,3,58,28036,0,0
0,3,58,28036,8,0
0,3,60,27936,0,1
0,3,60,27974,0,1
0,3,58,28037,0,0
0,3,58,28037,8,0
0,3,60,27974,8,1
0,3,60,27975,0,1
0,3,78,14793,11,0
0,3,58,28038,0,0
0,3,58,28038,8,0
0,3,60,27918,0,1
0,3,60,27918,8,1
0,3,58,28039,0,0
0,3,58,28039,8,0
0,3,60,27938,0,1
1,3,60,27529,1,0
0,3,68,27529,9,0
0,3,78,14794,11,0
0,3,60,27938,8,1
0,3,58,28040,0,0
0,3,58,28040,8,0
1,3,60,27530,1,0
0,3,68,27530,9,0
0,3,60,27979,0,1
0,3,58,28041,0,0
0,3,58,28041,8,0
0,3,60,27939,0,1
0,3,78,14795,11,0
0,3,60,27980,0,1
0,3,58,28042,0,0
0,3,58,28042,8,0
0,3,60,27981,0,1
0,3,58,28043,0,0
0,3,58,28043,8,0
0,3,60,27940,0,1
0,3,60,27940,8,1
0,3,78,14796,11,0
0,3,58,28044,0,0
0,3,58,28044,8,0
0,3,60,27983,0,1
0,3,58,28045,0,0
0,3,58,28045,8,0
0,3,60,27941,0,1
0,3,60,27941,8,1
0,3,78,14797,11,0
0,3,58,28046,0,0
0,3,58,28046,8,0
0,3,60,27942,0,1
0,3,60,27987,0,1
0,3,58,28047,0,0
0,3,58,28047,8,0
0,3,60,27987,8,1
0,3,60,27942,8,1
0,3,78,14798,11,0
0,3,58,28048,0,0
0,3,58,28048,8,0
0,3,60,27911,8,1
0,3,60,27943,0,1
0,3,58,28049,0,0
0,3,58,28049,8,0
0,3,60,27921,0,1
0,3,78,14799,11,0
0,3,60,27944,0,1
0,3,58,28050,0,0
0,3,58,28050,8,0
0,3,60,27944,8,1
0,3,58,28051,0,0
0,3,58,28051,8,0
0,3,60,27991,0,1
0,3,60,27991,8,1
0,3,78,14800,11,0
0,3,58,28052,0,0
0,3,58,28052,8,0
0,3,60,27992,0,1
0,3,60,27945,0,1
0,3,58,28053,0,0
0,3,58,28053,8,0
0,3,60,27945,8,1
0,3,78,14801,11,0
0,3,58,28054,0,0
0,3,58,28054,8,0
0,3,60,27946,0,1
0,3,60,27995,0,1
0,3,58,28055,0,0
0,3,58,28055,8,0
0,3,60,27995,8,1
0,3,78,14802,11,0
0,3,58,28056,0,0
0,3,58,28056,8,0
0,3,60,27946,8,1
0,3,58,28057,0,0
0,3,58,28057,8,0
0,3,60,27997,0,1
0,3,78,14803,11,0
0,3,58,28058,0,0
0,3,58,28058,8,0
0,3,60,27912,8,1
0,3,58,28059,0,0
0,3,58,28059,8,0
0,3,60,27908,0,1
0,3,78,14804,11,0
0,3,60,28000,0,1
0,3,58,28060,0,0
0,3,58,28060,8,0
0,3,60,28000,8,1
0,3,58,28061,0,0
0,3,58,28061,8,0
0,3,60,28001,0,1
0,3,78,14805,11,0
0,3,58,28062,0,0
0,3,58,28062,8,0
0,3,60,27923,0,1
0,3,60,27923,8,1
0,3,58,28063,0,0
0,3,58,28063,8,0
0,3,60,27949,0,1
0,3,78,14806,11,0
0,3,58,28064,0,0
0,3,58,28064,8,0
0,3,60,28003,0,1
1,3,60,27531,1,0
0,3,68,27531,9,0
0,3,60,27949,8,1
0,3,58,28065,0,0
0,3,58,28065,8,0
0,3,60,27908,8,1
0,3,78,14807,11,0
0,3,60,28005,0,1
0,3,58,28066,0,0
0,3,58,28066,8,0
0,3,60,28005,8,1
0,3,58,28067,0,0
0,3,58,28067,8,0
0,3,60,27950,8,1
0,3,60,27924,0,1
0,3,78,14808,11,0
0,3,58,28068,0,0
0,3,58,28068,8,0
0,3,60,27924,8,1
0,3,58,28069,0,0
0,3,58,28069,8,0
0,3,60,28008,0,1
0,3,60,27951,8,1
0,3,78,14809,11,0
0,3,58,28070,0,0
0,3,58,28070,8,0
0,3,60,27913,8,1
0,3,60,28010,0,1
0,3,58,28071,0,0
0,3,58,28071,8,0
0,3,60,28010,8,1
0,3,78,14810,11,0
0,3,58,28072,0,0
0,3,58,28072,8,0
0,3,60,28011,0,1
0,3,60,27925,8,1
0,3,58,28073,0,0
0,3,58,28073,8,0
0,3,60,27953,0,1
0,3,78,14811,11,0
0,3,58,28074,0,0
0,3,58,28074,8,0
0,3,60,28014,0,1
1,3,60,27532,1,0
0,3,68,27532,9,0
0,3,60,27955,0,1
0,3,58,28075,0,0
0,3,58,28075,8,0
0,3,60,28015,0,1
1,3,60,27533,1,0
0,3,68,27533,9,0
0,3,78,14812,11,0
0,3,60,27955,8,1
0,3,58,28076,0,0
0,3,58,28076,8,0
0,3,60,27926,8,1
0,3,58,28077,0,0
0,3,58,28077,8,0
0,3,60,27927,0,1
0,3,60,28017,0,1
0,3,78,14813,11,0
0,3,58,28078,0,0
0,3,58,28078,8,0
0,3,60,28017,8,1
0,3,60,27909,0,1
0,3,58,28079,0,0
0,3,58,28079,8,0
0,3,60,28019,0,1
0,3,78,14814,11,0
0,3,58,28080,0,0
0,3,58,28080,8,0
0,3,60,28019,8,1
0,3,60,27929,0,1
0,3,58,28081,0,0
0,3,58,28081,8,0
0,3,60,28021,0,1
0,3,60,27961,0,1
0,3,78,14815,11,0
0,3,58,28082,0,0
0,3,58,28082,8,0
0,3,60,27962,0,1
1,3,60,27534,1,0
0,3,68,27534,9,0
0,3,60,28023,0,1
0,3,58,28083,0,0
0,3,58,28083,8,0
0,3,60,28023,8,1
0,3,78,14816,11,0
0,3,58,28084,0,0
0,3,58,28084,8,0
0,3,60,27963,0,1
0,3,60,28025,0,1
0,3,58,28085,0,0
0,3,58,28085,8,0
0,3,60,28025,8,1
0,3,78,14817,11,0
0,3,58,28086,0,0
0,3,58,28086,8,0
0,3,60,27909,8,1
0,3,60,27932,0,1
0,3,58,28087,0,0
0,3,58,28087,8,0
0,3,60,27906,8,1
0,3,60,28027,0,1
0,3,78,14818,11,0
0,3,58,28088,0,0
0,3,58,28088,8,0
0,3,60,28027,8,1
0,3,60,27967,0,1
0,3,58,28089,0,0
0,3,58,28089,8,0
0,3,60,27916,8,1
0,3,78,14819,11,0
0,3,60,28029,0,1
0,3,58,28090,0,0
0,3,58,28090,8,0
0,3,60,28029,8,1
0,3,60,27969,8,1
0,3,58,28091,0,0
0,3,58,28091,8,0
0,3,60,28030,0,1
1,3,60,27535,1,0
0,3,68,27535,9,0
0,3,78,14820,11,0
0,3,58,28092,0,0
0,3,58,28092,8,0
0,3,60,27934,8,1
0,3,60,27970,0,1
0,3,58,28093,0,0
0,3,58,28093,8,0
0,3,60,27905,0,1
1,3,60,27536,1,0
0,3,68,27536,9,0
0,3,78,14821,11,0
0,3,60,28033,0,1
0,3,58,28094,0,0
0,3,58,28094,8,0
0,3,60,27935,0,1
0,3,58,28095,0,0
0,3,58,28095,8,0
0,3,60,27935,8,1
0,3,60,27917,0,1
