Source,Destination,Length,SequenceID,MessageType,Label
1,2,68,19224,9,0
1,2,60,22158,0,0
1,2,78,43861,11,0
1,2,60,22159,0,0
0,2,58,19225,1,0
1,2,68,19225,9,0
0,2,58,19226,1,0
1,2,68,19226,9,0
1,2,60,22160,0,0
1,2,78,43862,11,0
1,2,60,22161,0,0
0,2,58,19227,1,0
1,2,68,19227,9,0
0,2,58,19228,1,0
1,2,68,19228,9,0
1,2,60,22162,0,0
1,2,78,43863,11,0
1,2,60,22163,0,0
0,2,58,19229,1,0
1,2,68,19229,9,0
1,2,60,22164,0,0
0,2,58,19230,1,0
1,2,68,19230,9,0
1,2,78,43864,11,0
1,2,60,22165,0,0
0,2,58,19231,1,0
1,2,68,19231,9,0
1,2,60,22166,0,0
0,2,58,19232,1,0
1,2,68,19232,9,0
0,2,58,19233,1,0
1,2,68,19233,9,0
1,2,78,43865,11,0
1,2,60,22167,0,0
1,2,60,22168,0,0
0,2,58,19234,1,0
1,2,68,19234,9,0
0,2,58,19235,1,0
1,2,68,19235,9,0
1,2,78,43866,11,0
1,2,60,22169,0,0
1,2,60,22170,0,0
0,2,58,19236,1,0
1,2,68,19236,9,0
1,2,78,43867,11,0
1,2,60,22171,0,0
0,2,58,19237,1,0
1,2,68,19237,9,0
1,2,60,22172,0,0
1,2,78,43868,11,0
1,2,60,22173,0,0
0,2,58,19238,1,0
1,2,68,19238,9,0
1,2,60,22174,0,0
0,2,58,19239,1,0
1,2,68,19239,9,0
1,2,78,43869,11,0
1,2,60,22175,0,0
1,2,60,22176,0,0
0,2,58,19240,1,0
1,2,68,19240,9,0
1,2,78,43870,11,0
1,2,60,22177,0,0
0,2,58,19241,1,0
1,2,68,19241,9,0
1,2,60,22178,0,0
1,2,78,43871,11,0
1,2,60,22179,0,0
0,2,58,19242,1,0
1,2,68,19242,9,0
1,2,60,22180,0,0
0,2,58,19243,1,0
1,2,68,19243,9,0
1,2,78,43872,11,0
1,2,60,22181,0,0
1,2,60,22182,0,0
0,2,58,19244,1,0
1,2,68,19244,9,0
0,2,58,19245,1,0
1,2,68,19245,9,0
1,2,78,43873,11,0
1,2,60,22183,0,0
1,2,60,22184,0,0
0,2,58,19246,1,0
1,2,68,19246,9,0
1,2,78,43874,11,0
1,2,60,22185,0,0
0,2,58,19247,1,0
1,2,68,19247,9,0
1,2,60,22186,0,0
1,2,78,43875,11,0
1,2,60,22187,0,0
0,2,58,19248,1,0
1,2,68,19248,9,0
0,2,58,19249,1,0
1,2,68,19249,9,0
1,2,60,22188,0,0
0,2,58,19250,1,0
1,2,68,19250,9,0
0,2,58,19251,1,0
1,2,68,19251,9,0
1,2,78,43876,11,0
1,2,60,22189,0,0
1,2,60,22190,0,0
0,2,58,19252,1,0
1,2,68,19252,9,0
1,2,78,43877,11,0
1,2,60,22191,0,0
0,2,58,19253,1,0
1,2,68,19253,9,0
1,2,60,22192,0,0
1,2,78,43878,11,0
1,2,60,22193,0,0
0,2,58,19254,1,0
1,2,68,19254,9,0
0,2,58,19255,1,0
1,2,68,19255,9,0
1,2,60,22194,0,0
0,2,58,19256,1,0
1,2,68,19256,9,0
0,2,58,19257,1,0
1,2,68,19257,9,0
1,2,78,43879,11,0
1,2,60,22195,0,0
0,2,58,19258,1,0
1,2,68,19258,9,0
1,2,60,22196,0,0
1,2,78,43880,11,0
1,2,60,22197,0,0
0,2,58,19259,1,0
1,2,68,19259,9,0
0,2,58,19260,1,0
1,2,68,19260,9,0
0,2,58,19261,1,0
1,2,68,19261,9,0
1,2,60,22198,0,0
0,2,58,19262,1,0
1,2,68,19262,9,0
1,2,78,43881,11,0
1,2,60,22199,0,0
1,2,60,22200,0,0
0,2,58,19263,1,0
1,2,68,19263,9,0
1,2,78,43882,11,0
1,2,60,22201,0,0
0,2,58,19264,1,0
1,2,68,19264,9,0
1,2,60,22202,0,0
0,2,58,19265,1,0
1,2,68,19265,9,0
1,2,78,43883,11,0
1,2,60,22203,0,0
1,2,60,22204,0,0
0,2,58,19266,1,0
