Time,Source,Destination,Protocol,Length,SequenceID,MessageType
51.549341,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59979,Sync
51.560879,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,62836,Announce
51.560907,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60136,Sync
51.565364,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60002,Sync
51.580342,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60049,Sync
51.593337,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60090,Sync
51.607333,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60070,Sync
51.620430,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60026,Sync
51.624544,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60137,Sync
51.637034,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,64602,Delay_Req
51.637275,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,64602,Delay_Resp
51.638349,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59957,Sync
51.651336,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60003,Sync
51.668332,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59889,Sync
51.684340,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60115,Sync
51.688674,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,62837,Announce
51.688703,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60138,Sync
51.696340,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59981,Sync
51.710339,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60005,Sync
51.713519,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,64603,Delay_Req
51.713727,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,64603,Delay_Resp
51.726339,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60051,Sync
51.740335,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60116,Sync
51.744595,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60139,Sync
51.759339,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59868,Sync
51.774339,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60029,Sync
51.792334,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60073,Sync
51.807345,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60117,Sync
51.808675,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,62838,Announce
51.808704,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60140,Sync
51.820334,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60053,Sync
51.833334,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60118,Sync
51.836265,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,64604,Delay_Req
51.836478,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,64604,Delay_Resp
51.846336,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60074,Sync
51.863338,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60007,Sync
51.872574,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60141,Sync
51.878343,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59917,Sync
51.897338,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60095,Sync
51.913356,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60119,Sync
51.926352,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59962,Sync
51.931900,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,64605,Delay_Req
51.932147,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,64605,Delay_Resp
