"App name","No.","Time","Source","Destination","Protocol","Length","Info"
"","2443","34.397129","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2452","34.535130","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2464","34.674135","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2474","34.816121","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2483","34.954124","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2492","35.092125","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2503","35.231122","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2516","35.373144","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2527","35.514127","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2536","35.653128","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2548","35.791131","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2557","35.933130","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2567","36.073127","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2576","36.220129","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2588","36.359125","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2597","36.497135","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2608","36.635133","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2617","36.775130","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2626","36.913125","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2638","37.053121","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2647","37.191136","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2657","37.334122","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2668","37.474131","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2679","37.612140","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2690","37.755127","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2699","37.894124","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2708","38.034123","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2720","38.172128","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2729","38.311127","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2740","38.449132","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2749","38.588046","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2758","38.726128","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2769","38.865134","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2780","39.003125","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2789","39.142128","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2798","39.280123","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2812","39.420135","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2821","39.557152","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2831","39.698132","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2840","39.837124","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2849","39.976124","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2860","40.114126","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
"","2869","40.255125","Mellanox_5e:6a:fa","IEEEI&MS_00:00:00","PTPv2","78","Announce Message"
